"1","nyc, new york, usa",NULL,NULL
"2","stockton, california, usa","18",NULL
"3","moscow, yukon territory, russia",NULL,NULL
"4","porto, v.n.gaia, portugal","17",NULL
"5","farnborough, hants, united kingdom",NULL,NULL
"6","santa monica, california, usa","61",NULL
"7","washington, dc, usa",NULL,NULL
"8","timmins, ontario, canada",NULL,NULL
"9","germantown, tennessee, usa",NULL,NULL
"10","albacete, wisconsin, spain","26",NULL
"11","melbourne, victoria, australia","14",NULL
"12","fort bragg, california, usa",NULL,NULL
"13","barcelona, barcelona, spain","26",NULL
"14","mediapolis, iowa, usa",NULL,NULL
"15","calgary, alberta, canada",NULL,NULL
"16","albuquerque, new mexico, usa",NULL,NULL
"17","chesapeake, virginia, usa",NULL,NULL
"18","rio de janeiro, rio de janeiro, brazil","25",NULL
"19","weston, ,","14",NULL
"20","langhorne, pennsylvania, usa","19",NULL
"21","ferrol / spain, alabama, spain","46",NULL
"22","erfurt, thueringen, germany",NULL,NULL
"23","philadelphia, pennsylvania, usa",NULL,NULL
"24","cologne, nrw, germany","19",NULL
"25","oakland, california, usa","55",NULL
"26","bellevue, washington, usa",NULL,NULL
"27","chicago, illinois, usa","32",NULL
"28","freiburg, baden-wuerttemberg, germany","24",NULL
"29","cuernavaca, alabama, mexico","19",NULL
"30","anchorage, alaska, usa","24",NULL
"31","shanghai, n/a, china","20",NULL
"32","portland, oregon, usa",NULL,NULL
"33","costa mesa, california, usa","34",NULL
"34","london, england, united kingdom",NULL,NULL
"35","grafton, wisconsin, usa","17",NULL
"36","montreal, quebec, canada","24",NULL
"37","san sebastian, n/a, spain","23",NULL
"38","viterbo, lazio, italy","34",NULL
"39","cary, north carolina, usa",NULL,NULL
"40","tonawanda, new york, usa","32",NULL
"41","santee, california, usa","14",NULL
"42","appleton, wisconsin, usa","17",NULL
"43","méxico, méxico city, distrito federal",NULL,NULL
"44","black mountain, north carolina, usa","51",NULL
"45","berlin, n/a, germany",NULL,NULL
"46","heidelberg, baden-wuerttemberg, germany","31",NULL
"47","vicenza, veneto, italy","21",NULL
"48","chicago, illinois, usa",NULL,NULL
"49","rome, rome, italy",NULL,NULL
"50","london, england, united kingdom","17",NULL
"51","renton, washington, usa","34",NULL
"52","braunschweig, niedersachsen, germany",NULL,NULL
"53","tacoma, washington, usa",NULL,NULL
"54","eubank, kentucky, usa","44",NULL
"55","calgary, alberta, canada",NULL,NULL
"56","cheyenne, wyoming, usa","24",NULL
"57","roma, lazio, italy",NULL,NULL
"58","edmonton, alberta, canada",NULL,NULL
"59","asheville, north carolina, usa","23",NULL
"60","trieste, friuli venezia giulia, italy",NULL,NULL
"61","winfield, alabama, usa","30",NULL
"62","kennewick, washington, usa",NULL,NULL
"63","nyack, new york, usa","57",NULL
"64","lyon, rhone, france","32",NULL
"65","n/a, n/a, australia",NULL,NULL
"66","warman, saskatchewan, canada","30",NULL
"67","framingham, massachusetts, usa","43",NULL
"68","montreal, quebec, canada",NULL,NULL
"69","vancouver, british columbia, canada",NULL,NULL
"70","rochester, new york, usa","44",NULL
"71","toronto, ontario, canada","24",NULL
"72","gloucester, england, united kingdom","34",NULL
"73","wentzville, missouri, usa",NULL,NULL
"74","amsterdam, n/a, netherlands","30",NULL
"75","long beach, california, usa","37",NULL
"76","charleston, south carolina, usa",NULL,NULL
"77","vancouver, british columbia, canada",NULL,NULL
"78","oakland, california, usa","18",NULL
"79","ottawa, ontario, canada","20",NULL
"80","etobicoke, ontario, canada",NULL,NULL
"81","santa cruz, california, usa",NULL,NULL
"82","del mar, california, usa",NULL,NULL
"83","eugene, oregon, usa",NULL,NULL
"84","san diago, california, usa",NULL,NULL
"85","london, england, united kingdom","41",NULL
"86","los angeles, california, usa",NULL,NULL
"87","richardson, texas, usa",NULL,NULL
"88","fayetteville, georgia, usa",NULL,NULL
"89","plano, texas, usa","54",NULL
"90","powhatan, virginia, usa","42",NULL
"91","toronto/newmarket, ,",NULL,NULL
"92","castellar del valles, barcelona, spain","20",NULL
"93","eden, wisconsin, usa","50",NULL
"94","tehran, tehran, iraq","39",NULL
"95","grand island, new york, usa",NULL,NULL
"96","helsinki, alaska, finland",NULL,NULL
"97","mechanicsburg, pennsylvania, usa",NULL,NULL
"98","pukekohe, auckland, new zealand","19",NULL
"99","franktown, colorado, usa","42",NULL
"100","madrid, n/a, spain","44",NULL